6.280,36.306,104.884,-0.244,37.461,-123.030
5.380,36.306,104.884,-0.244,37.461,-117.030
4.624,34.909,107.597,-0.258,36.145,-113.272
3.801,34.037,109.288,-0.266,35.327,-105.986
2.921,33.748,109.848,-0.269,35.056,-102.363
2.043,33.315,110.685,-0.272,34.651,-96.938
1.149,33.100,111.102,-0.274,34.450,-92.430
0.249,33.100,111.102,-0.274,34.450,-87.930
-0.751,33.100,111.102,-0.174,34.450,-83.930
-1.751,33.101,111.103,-0.174,34.450,-78.929
-2.740,33.260,110.794,-0.174,34.599,-73.919
-3.815,33.665,110.010,-0.169,34.977,-69.998
-4.723,34.468,108.454,-0.170,35.730,-64.908
-6.503,35.103,107.224,-0.136,37.325,-61.715
-7.887,35.969,105.542,-0.130,38.141,-59.105
